기준일ID,시간대구분,행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20240825,0,11200720,9873.8438,272.9236,138.0124,173.1745,418.1462,558.1432,450.3049,543.4951,394.2409,407.5197,332.125,358.5201,360.5512,213.6221,354.4953,276.133,114.208,150.7768,506.0262,524.7667,477.4275,338.148,364.6941,368.4904,297.0997,293.4255,303.198,229.1503,655.0262
20240825,0,11200790,16953.5785,274.7076,170.1659,336.4046,566.183,987.2858,818.5744,834.957,638.8402,744.3081,739.7546,654.1475,589.0984,375.8492,525.5104,317.5154,209.4045,237.7357,1021.8384,1087.675,819.6703,771.5835,539.5535,685.8632,681.7329,552.9658,418.6008,327.5058,1026.1477
20240825,0,11215710,38101.9833,371.3839,171.4077,829.674,3998.4088,4045.1502,2135.2658,1457.546,868.5956,929.5316,851.1978,797.3205,538.2209,329.3699,748.3746,325.7184,151.2626,1175.9294,5737.1126,4139.9117,1857.3043,1408.2553,904.9027,835.959,664.3387,765.6187,474.3502,489.339,1100.5329
20240825,0,11215730,21083.8763,555.849,232.6405,453.7483,1232.1891,1483.8359,1130.1877,991.0064,676.5008,715.9802,646.7379,607.3202,484.8689,312.2978,605.0523,463.2551,226.9698,550.3533,1761.8681,1530.3737,1120.0426,904.4608,756.4555,700.0372,549.9014,543.5047,483.2069,420.0372,945.1959
20240825,0,11215740,15297.6759,551.7257,194.0852,254.7845,462.8164,741.9912,883.0609,816.3514,598.7315,568.4631,468.4036,508.9138,418.5931,276.558,561.4074,473.5558,186.4227,244.5489,595.2548,1016.0965,903.1994,724.0665,603.8903,591.279,422.5721,542.1449,553.4687,375.1665,760.1249
20240825,0,11215750,20553.1615,802.2808,374.1264,447.3811,511.4454,865.1637,851.1804,1012.3728,741.5837,833.7755,738.0772,693.903,607.316,366.3813,750.8045,666.0249,329.2702,467.1532,707.3628,1097.1526,903.6348,967.2794,746.5583,920.0473,750.6807,875.9434,625.5842,553.9059,1346.7724
20240825,0,11215760,15539.8888,460.9443,227.9304,273.9633,326.1295,613.2981,665.8482,745.917,586.7501,562.1795,541.4161,614.6105,485.8109,372.8079,652.5033,509.9215,247.4471,313.8495,515.9251,690.4169,631.2974,713.3026,533.7142,551.6779,649.6376,780.3184,633.2193,486.7694,1152.2818
20240825,0,11215770,24852.536,706.1297,344.7763,452.5006,694.3917,980.2541,875.9069,1017.6298,920.8556,990.143,918.3932,1068.5643,874.3233,632.7702,1190.6446,664.8746,308.3179,508.032,720.3178,969.6149,972.3669,1062.6333,831.1271,1019.25,981.0334,1225.4104,1061.6575,861.1408,1999.4748
20240825,0,11215780,11934.8972,413.0915,137.6971,152.573,382.04,619.9372,605.504,639.5685,511.8506,467.6076,390.465,384.4831,317.5071,170.5064,464.9874,447.6459,160.0517,203.2119,550.4691,700.0134,761.0694,636.7963,514.1897,384.7153,412.536,358.6317,283.0587,224.6926,639.9981
20240825,0,11215810,35077.9474,1660.2629,1403.5412,1709.45,852.0264,720.7447,594.4828,929.1191,1290.4152,1901.8135,1434.5389,1265.9453,880.1124,542.1491,1208.4528,1831.2374,1533.9435,1790.6292,1055.0024,876.7926,772.4639,1308.7451,1782.3892,2214.4399,1532.5929,1219.1693,835.5596,614.0225,1317.902
