"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"108","인천광역시 부평구 산곡동","507","0507","0000","금호이수마운트밸리","전세","115.0311","202312","27","42,000","0","10","2007","원적로 344","202401~202601","신규","-","","","아파트"
"109","인천광역시 부평구 산곡동","180-78","0180","0078","부평신일해피트리더루츠","월세","39.7240","202312","27","8,000","70","12","2022","산곡로 31","202403~202603","신규","-","","","아파트"
"110","인천광역시 부평구 산곡동","222","0222","0000","한신휴","전세","84.9790","202312","27","25,000","0","16","2003","마장로220번길 13","202401~202601","갱신","사용","30,000","0","아파트"
"111","인천광역시 부평구 산곡동","307","0307","0000","현대1차","월세","72.4800","202312","27","5,000","60","5","1986","경원대로 1269","202312~202503","갱신","-","5,000","50","아파트"
"112","인천광역시 부평구 청천동","176","0176","0000","청천푸르지오","월세","59.3600","202312","27","3,000","60","20","1998","세월천로 16","202401~202601","신규","-","","","아파트"
"113","인천광역시 부평구 부평동","64-20","0064","0020","대림1차","전세","50.1550","202312","27","15,000","0","7","1989","부영로 196","202312~202512","갱신","-","24,000","0","아파트"
"114","인천광역시 부평구 십정동","609","0609","0000","부평금호어울림","전세","84.7900","202312","26","23,000","0","12","2008","경원대로1110번길 20","202402~202602","신규","-","","","아파트"
"115","인천광역시 부평구 청천동","200","0200","0000","부평1,2차금호타운","전세","59.8050","202312","26","22,000","0","18","1998","안남로 272","202402~202602","신규","-","","","아파트"
"116","인천광역시 부평구 청천동","236-5","0236","0005","미도6","전세","45.3300","202312","26","11,000","0","3","1988","길주로494번길 50","202403~202603","갱신","-","10,000","0","아파트"
"117","인천광역시 부평구 청천동","259-5","0259","0005","미도7","전세","59.7000","202312","26","10,000","0","4","1989","원길로24번길 5","202401~202601","신규","-","","","아파트"
"118","인천광역시 부평구 삼산동","390-6","0390","0006","삼산주공미래타운3차","전세","59.3900","202312","26","22,600","0","9","2000","부평북로 463","202312~202512","갱신","사용","21,525","0","아파트"
"119","인천광역시 부평구 삼산동","456-8","0456","0008","주공삼산타운4단지","월세","45.3200","202312","26","1,975","24","12","2004","체육관로 111","-","-","-","","","아파트"
"120","인천광역시 부평구 삼산동","456-8","0456","0008","주공삼산타운4단지","월세","45.3200","202312","26","1,975","24","13","2004","체육관로 111","-","-","-","","","아파트"
"121","인천광역시 부평구 삼산동","454-13","0454","0013","삼산타운6단지","전세","84.9600","202312","26","38,000","0","9","2004","체육관로 57","202402~202602","신규","-","","","아파트"
"122","인천광역시 부평구 삼산동","454-13","0454","0013","삼산타운6단지","전세","84.9600","202312","26","38,000","0","12","2004","체육관로 57","202401~202601","신규","-","","","아파트"
"123","인천광역시 부평구 삼산동","553","0553","0000","브라운스톤부평","전세","72.9841","202312","26","37,500","0","5","2023","후정로 8","202402~202602","신규","-","","","아파트"
